nombre,mean,countNonZero,dft mean,
Sobel,[9.18843, 0, 0, 0],2095,[14.5731, 0, 0, 0]
Gradient Y,[0.422143, 0, 0, 0],1921,[-0.701077, 0, 0, 0]
Valor absoluto Gradient Y,[2.65571, 0, 0, 0],1610,[0.986321, 0, 0, 0]
Sobel,[3.72488, 0, 0, 0],2084,[2.07212, 0, 0, 0]
EyeROI,[80.2324, 0, 0, 0],2084,[107.464, 0, 0, 0]
Gradient Y,[0.36, 0, 0, 0],2002,[6.01107, 0, 0, 0]
Valor absoluto Gradient Y,[4.80571, 0, 0, 0],1847,[2.2521, 0, 0, 0]
Sobel,[9.27725, 0, 0, 0],2091,[12.4171, 0, 0, 0]
Gradient Y,[0.272143, 0, 0, 0],1931,[0.343587, 0, 0, 0]
Valor absoluto Gradient Y,[2.89905, 0, 0, 0],1678,[1.54879, 0, 0, 0]
Sobel,[3.9484, 0, 0, 0],2087,[2.16424, 0, 0, 0]
EyeROI,[79.3262, 0, 0, 0],2084,[108.216, 0, 0, 0]
Gradient Y,[0.189286, 0, 0, 0],2015,[4.29696, 0, 0, 0]
Valor absoluto Gradient Y,[4.71667, 0, 0, 0],1853,[4.96691, 0, 0, 0]
Sobel,[8.83144, 0, 0, 0],2094,[13.5259, 0, 0, 0]
Gradient Y,[0.497619, 0, 0, 0],1913,[-2.93063, 0, 0, 0]
Valor absoluto Gradient Y,[2.57333, 0, 0, 0],1590,[1.5819, 0, 0, 0]
Sobel,[3.62378, 0, 0, 0],2083,[3.84231, 0, 0, 0]
EyeROI,[79.1414, 0, 0, 0],2085,[102.395, 0, 0, 0]
Gradient Y,[0.328333, 0, 0, 0],1995,[7.89101, 0, 0, 0]
Valor absoluto Gradient Y,[4.64095, 0, 0, 0],1824,[4.27593, 0, 0, 0]
Sobel,[9.0776, 0, 0, 0],2091,[18.1602, 0, 0, 0]
Gradient Y,[0.337143, 0, 0, 0],1932,[-3.47646, 0, 0, 0]
Valor absoluto Gradient Y,[2.54571, 0, 0, 0],1640,[0.841408, 0, 0, 0]
